Vehicle Number,Blacklist Flag,No. of Fines,Color,Fitness Upto,Insurance Upto,Insurance Comp,Maker,Rc Status,Registration Date,RTO,Year of Purchase,Type of Car,Pollution Cert Validity
GJ 63 XG 7579,no,0,Yellow,12-12-2023,01-09-2032,United India Insurance,Maruti Suzuki,ACTIVE,14-08-2011,GJ,2018,personal,12-12-2032
HP 48 VK 7099,no,0,Silver,07-05-2031,23-07-2025,Future Generali,Honda,ACTIVE,05-09-2014,HP,2006,personal,15-11-2026
KA 41 HN 8539,no,0,Red,08-05-2029,21-08-2023,Future Generali,Hyundai,ACTIVE,19-09-2015,KA,2014,personal,28-10-2030
TS 67 UD 5933,no,0,Green,27-01-2032,19-06-2029,Oriental Insurance,Toyota,DEACTIVE,20-02-2020,TS,2017,commercial,21-05-2029
AP 98 GY 8012,yes,4,Green,11-11-2025,05-02-2031,Tata AIG,HERO MOTOCORP LTD,ACTIVE,08-11-2012,AP,2002,commercial,02-05-2032
GJ 93 UX 9192,yes,5,Blue,11-07-2032,23-09-2024,SBI General,Toyota,ACTIVE,23-08-2013,GJ,2001,personal,18-09-2024
CG 78 VC 9008,yes,3,Blue,28-08-2030,24-10-2028,Oriental Insurance,HERO MOTOCORP LTD,DEACTIVE,14-12-2017,CG,2020,personal,19-11-2030
HR 67 KF 7477,yes,2,Green,08-02-2026,08-09-2029,Bajaj Allianz,Tata Motors,ACTIVE,14-02-2017,HR,2001,personal,02-06-2026
MP 11 AS 4731,no,0,Red,19-12-2029,29-08-2024,HDFC ERGO,Hyundai,DEACTIVE,18-09-2016,MP,2005,personal,02-12-2024
TR 57 SH 2208,no,0,Yellow,29-09-2025,10-04-2030,Reliance General,HERO MOTOCORP LTD,DEACTIVE,28-09-2021,TR,2016,personal,02-08-2030
JK 94 PS 9489,no,0,Green,01-04-2024,12-09-2031,Future Generali,Hyundai,DEACTIVE,18-12-2019,JK,2022,personal,12-08-2027
SK 16 VH 7156,yes,5,Blue,02-03-2029,21-01-2032,United India Insurance,Maruti Suzuki,DEACTIVE,24-08-2012,SK,2006,commercial,15-07-2030
MZ 42 KB 8985,no,0,Silver,18-07-2031,08-09-2031,HDFC ERGO,Maruti Suzuki,DEACTIVE,04-10-2012,MZ,2019,commercial,26-12-2029
RJ 71 PX 9122,yes,1,Yellow,11-11-2023,19-09-2027,SBI General,Hyundai,DEACTIVE,03-12-2022,RJ,2005,commercial,16-09-2026
AP 25 WH 4826,yes,1,White,13-09-2029,28-02-2025,Reliance General,Maruti Suzuki,DEACTIVE,10-10-2016,AP,2014,commercial,28-08-2023
AS 43 RH 1336,no,0,Black,12-02-2033,23-12-2032,New India Assurance,Maruti Suzuki,ACTIVE,17-10-2011,AS,2007,commercial,01-04-2032
KL 33 PS 6416,no,0,White,22-01-2029,18-08-2026,Tata AIG,Toyota,ACTIVE,29-08-2021,KL,2018,commercial,28-06-2027
SK 41 DA 7160,no,0,Black,09-04-2029,18-06-2028,ICICI LOMBARD,Maruti Suzuki,ACTIVE,20-07-2016,SK,2015,commercial,02-12-2030
UP 80 WZ 2244,yes,2,Yellow,16-11-2024,23-08-2031,United India Insurance,Honda,ACTIVE,20-03-2021,UP,2013,commercial,24-09-2023
JK 66 LW 6678,no,0,Green,27-04-2032,02-06-2026,United India Insurance,HERO MOTOCORP LTD,ACTIVE,20-03-2022,JK,2000,commercial,03-10-2024
ML 59 LZ 4288,yes,5,White,05-06-2024,23-05-2029,Bajaj Allianz,Hyundai,DEACTIVE,18-10-2015,ML,2010,commercial,16-07-2029
TS 11 UU 8261,yes,5,Yellow,10-01-2030,29-05-2028,HDFC ERGO,HERO MOTOCORP LTD,DEACTIVE,11-04-2015,TS,2012,commercial,30-01-2031
MH 63 CN 1426,yes,6,Yellow,24-08-2028,25-03-2030,ICICI LOMBARD,Toyota,DEACTIVE,21-08-2021,MH,2020,commercial,20-08-2030
TR 27 CG 5093,no,0,White,15-09-2027,01-02-2027,SBI General,Honda,DEACTIVE,16-08-2011,TR,2003,commercial,30-11-2023
MN 89 FR 8612,yes,9,Red,05-04-2025,06-11-2025,Tata AIG,HERO MOTOCORP LTD,DEACTIVE,09-10-2017,MN,2011,commercial,27-11-2030
GA 15 KR 1665,yes,4,Silver,26-09-2028,22-03-2029,HDFC ERGO,Tata Motors,DEACTIVE,20-03-2017,GA,2017,personal,15-05-2026
TN 71 DT 7323,no,0,White,25-01-2032,22-04-2032,Future Generali,Hyundai,ACTIVE,27-09-2011,TN,2017,commercial,23-05-2031
RJ 64 WT 2996,yes,8,Blue,17-05-2032,02-06-2028,New India Assurance,Tata Motors,ACTIVE,02-09-2020,RJ,2000,commercial,12-08-2025
TN 43 GS 2304,yes,9,Red,10-09-2031,01-12-2032,Future Generali,Honda,ACTIVE,11-08-2011,TN,2004,personal,02-01-2029
MP 96 YM 6880,no,0,Blue,06-12-2032,11-08-2032,New India Assurance,Honda,ACTIVE,23-03-2014,MP,2001,commercial,28-05-2028
KL 82 WV 3245,yes,4,Yellow,14-12-2031,26-01-2033,New India Assurance,Toyota,ACTIVE,20-04-2014,KL,2005,personal,03-12-2025
TN 55 UO 2130,no,0,Yellow,25-11-2025,30-01-2030,ICICI LOMBARD,Honda,ACTIVE,05-04-2014,TN,2002,commercial,24-05-2024
WB 85 TF 3032,no,0,Blue,08-04-2033,17-01-2026,Tata AIG,HERO MOTOCORP LTD,ACTIVE,08-06-2010,WB,2020,personal,30-09-2029
KA 23 MI 8402,no,0,Yellow,13-11-2028,28-06-2032,Oriental Insurance,HERO MOTOCORP LTD,ACTIVE,09-12-2021,KA,2008,personal,27-07-2030
KA 63 WQ 3053,yes,3,Yellow,01-01-2025,02-01-2028,Tata AIG,Hyundai,ACTIVE,23-08-2016,KA,2014,personal,05-05-2029
RJ 32 NV 9687,no,0,Yellow,05-06-2032,07-02-2032,SBI General,Honda,DEACTIVE,08-03-2016,RJ,2012,commercial,30-11-2025
NL 85 KS 1379,yes,6,Blue,09-02-2029,29-07-2025,Reliance General,HERO MOTOCORP LTD,ACTIVE,13-07-2020,NL,2016,personal,20-04-2026
UK 68 LY 1867,yes,5,Blue,06-11-2025,01-09-2027,New India Assurance,Toyota,DEACTIVE,17-04-2015,UK,2000,personal,21-12-2028
TN 73 DP 9766,yes,8,Red,07-07-2025,23-09-2023,HDFC ERGO,HERO MOTOCORP LTD,DEACTIVE,28-12-2021,TN,2019,commercial,08-09-2029
MZ 35 DR 6196,no,0,Red,13-05-2025,08-04-2030,United India Insurance,Hyundai,ACTIVE,26-04-2019,MZ,2021,personal,09-05-2031
AR 93 LQ 1694,no,0,White,25-09-2032,01-10-2023,SBI General,Toyota,DEACTIVE,19-06-2013,AR,2014,personal,03-10-2029
UP 86 HH 4796,yes,2,Green,20-09-2024,29-12-2028,New India Assurance,HERO MOTOCORP LTD,DEACTIVE,27-05-2022,UP,2002,personal,29-07-2031
NL 71 IM 6253,no,0,Green,30-01-2030,05-02-2032,SBI General,Tata Motors,ACTIVE,28-06-2018,NL,2023,commercial,29-01-2025
PB 44 IF 6190,no,0,Silver,27-12-2028,14-06-2031,SBI General,Maruti Suzuki,ACTIVE,09-06-2018,PB,2005,commercial,18-03-2032
AS 34 LS 9367,no,0,White,01-01-2030,30-10-2029,HDFC ERGO,HERO MOTOCORP LTD,DEACTIVE,30-09-2016,AS,2023,personal,01-12-2024
AS 14 VP 1586,yes,9,Red,06-09-2028,25-11-2027,Tata AIG,Hyundai,ACTIVE,16-02-2022,AS,2012,commercial,28-01-2032
JK 36 TO 8521,no,0,White,05-05-2028,19-03-2024,ICICI LOMBARD,Tata Motors,ACTIVE,20-01-2018,JK,2012,personal,17-09-2028
NL 88 LB 7854,no,0,Black,26-02-2030,18-03-2033,SBI General,Hyundai,ACTIVE,10-05-2010,NL,2017,personal,10-12-2030
NL 46 LO 8835,yes,6,Silver,08-04-2024,19-04-2024,Bajaj Allianz,HERO MOTOCORP LTD,DEACTIVE,27-06-2012,NL,2013,commercial,07-09-2025
GJ 87 PB 4836,yes,6,Yellow,15-11-2024,15-08-2024,SBI General,Hyundai,DEACTIVE,19-10-2021,GJ,2007,commercial,28-06-2025
GJ 15 WO 3031,yes,9,Black,17-01-2032,27-09-2029,Tata AIG,Hyundai,ACTIVE,18-09-2014,GJ,2018,personal,23-01-2026
KA 46 BP 8180,no,0,Blue,01-05-2025,22-04-2030,United India Insurance,Tata Motors,ACTIVE,13-03-2017,KA,2016,personal,10-09-2031
KL 42 TQ 6175,no,0,White,05-03-2028,09-03-2027,United India Insurance,HERO MOTOCORP LTD,DEACTIVE,03-08-2022,KL,2000,commercial,16-11-2026
MH 94 CN 3151,no,0,Blue,01-07-2028,12-01-2033,HDFC ERGO,Hyundai,DEACTIVE,24-02-2022,MH,2001,commercial,25-08-2024
CG 66 ZK 4787,yes,9,White,02-03-2026,27-10-2026,SBI General,Maruti Suzuki,DEACTIVE,22-01-2014,CG,2020,personal,05-03-2033
AR 14 HI 8294,yes,8,Black,24-06-2024,03-10-2028,Bajaj Allianz,Maruti Suzuki,DEACTIVE,07-12-2021,AR,2005,commercial,25-12-2025
AR 48 YS 6044,yes,5,Red,12-05-2026,24-05-2031,SBI General,Maruti Suzuki,DEACTIVE,16-09-2011,AR,2003,commercial,29-06-2026
AP 69 IE 3278,yes,8,Red,09-04-2031,05-11-2029,United India Insurance,HERO MOTOCORP LTD,ACTIVE,31-07-2019,AP,2023,personal,09-02-2031
KL 87 UR 7811,yes,1,Black,22-08-2023,01-08-2026,SBI General,Honda,ACTIVE,16-04-2016,KL,2000,commercial,06-06-2025
KA 70 CP 6201,no,0,Red,14-04-2025,25-07-2030,Future Generali,Tata Motors,ACTIVE,01-01-2011,KA,2017,personal,11-07-2026
GA 99 QC 5724,yes,9,White,24-08-2024,28-10-2025,Bajaj Allianz,Tata Motors,DEACTIVE,08-12-2017,GA,2023,personal,07-09-2026
MZ 27 IE 5721,no,0,Black,05-12-2028,04-12-2030,Bajaj Allianz,Hyundai,DEACTIVE,03-10-2019,MZ,2021,personal,26-05-2026
AP 91 EQ 4461,yes,4,Silver,15-01-2024,12-08-2023,HDFC ERGO,HERO MOTOCORP LTD,ACTIVE,29-05-2013,AP,2022,commercial,05-07-2031
WB 69 SH 4472,no,0,White,10-10-2030,11-02-2026,Bajaj Allianz,Hyundai,DEACTIVE,09-01-2010,WB,2007,personal,05-01-2024
CG 18 SK 7180,yes,7,Yellow,27-06-2033,13-08-2023,New India Assurance,HERO MOTOCORP LTD,ACTIVE,19-09-2021,CG,2012,personal,27-11-2024
KL 30 YU 2128,no,0,Black,10-02-2032,13-07-2029,Tata AIG,Hyundai,DEACTIVE,30-06-2011,KL,2008,personal,04-08-2023
PB 48 VG 6265,no,0,Green,22-04-2029,30-04-2031,Reliance General,Tata Motors,DEACTIVE,30-08-2016,PB,2022,personal,26-12-2031
UP 42 HC 8255,no,0,White,20-09-2029,26-10-2031,Reliance General,Toyota,DEACTIVE,13-03-2022,UP,2008,commercial,23-09-2032
SK 97 JS 7561,no,0,Blue,11-11-2027,08-09-2030,Future Generali,HERO MOTOCORP LTD,DEACTIVE,02-02-2010,SK,2000,commercial,11-08-2030
PB 47 EO 2802,no,0,Yellow,14-06-2030,06-02-2028,Reliance General,HERO MOTOCORP LTD,ACTIVE,02-03-2019,PB,2009,commercial,27-11-2030
RJ 82 RF 6367,yes,1,Red,21-04-2027,08-10-2032,Reliance General,Toyota,DEACTIVE,31-01-2019,RJ,2021,personal,08-03-2031
UP 62 OP 8283,no,0,Blue,21-12-2025,27-02-2033,SBI General,Toyota,ACTIVE,23-07-2023,UP,2015,personal,26-04-2030
AP 57 WU 8554,yes,1,White,02-10-2028,24-07-2028,SBI General,HERO MOTOCORP LTD,DEACTIVE,04-12-2020,AP,2012,commercial,30-03-2033
HR 83 PQ 6332,yes,8,Red,31-10-2031,07-12-2029,SBI General,Hyundai,DEACTIVE,25-10-2018,HR,2002,personal,15-06-2024
MH 49 YH 6011,no,0,Blue,28-09-2027,05-09-2029,New India Assurance,Tata Motors,DEACTIVE,09-08-2011,MH,2022,personal,20-02-2025
KL 19 KA 9939,no,0,White,27-09-2026,07-08-2032,Oriental Insurance,Tata Motors,ACTIVE,03-01-2023,KL,2001,personal,17-06-2029
TN 22 OY 7713,no,0,Yellow,16-03-2031,17-09-2025,New India Assurance,Maruti Suzuki,ACTIVE,06-11-2011,TN,2017,personal,24-04-2026
AR 78 TS 8587,no,0,Silver,09-05-2029,03-08-2024,Oriental Insurance,Honda,ACTIVE,03-04-2023,AR,2020,commercial,19-05-2030
WB 68 IV 7970,yes,1,Black,01-11-2024,12-10-2029,HDFC ERGO,Maruti Suzuki,DEACTIVE,22-03-2010,WB,2007,commercial,06-11-2028
HP 44 NS 7704,yes,4,Green,31-07-2027,09-12-2025,HDFC ERGO,Honda,ACTIVE,23-06-2013,HP,2017,commercial,14-12-2027
WB 95 LC 7557,yes,1,Yellow,22-07-2024,30-06-2031,ICICI LOMBARD,Tata Motors,DEACTIVE,15-01-2013,WB,2017,personal,06-11-2028
UP 33 TK 6661,yes,5,Black,14-02-2033,20-02-2027,SBI General,Hyundai,DEACTIVE,05-04-2011,UP,2008,commercial,06-11-2028
AS 33 NS 2164,yes,3,Red,21-06-2032,09-06-2024,Tata AIG,Maruti Suzuki,ACTIVE,24-12-2017,AS,2007,commercial,05-02-2029
AP 89 SX 4986,yes,5,Silver,12-06-2029,07-12-2023,United India Insurance,Hyundai,ACTIVE,29-07-2017,AP,2023,commercial,22-05-2031
BR 66 KH 3630,yes,2,Red,30-01-2029,05-06-2032,New India Assurance,HERO MOTOCORP LTD,DEACTIVE,22-02-2010,BR,2006,commercial,13-08-2027
OD 28 HU 1102,no,0,Red,16-03-2032,07-06-2032,Reliance General,Toyota,DEACTIVE,13-09-2019,OD,2006,commercial,21-03-2030
PB 22 DI 6262,no,0,White,19-02-2025,25-09-2024,Reliance General,Hyundai,DEACTIVE,02-12-2015,PB,2016,commercial,04-03-2025
KA 80 ZY 5075,yes,9,Blue,30-12-2026,14-09-2028,Oriental Insurance,Hyundai,DEACTIVE,09-02-2015,KA,2008,commercial,11-03-2033
HR 67 SJ 1925,no,0,Black,21-04-2025,24-07-2029,Bajaj Allianz,HERO MOTOCORP LTD,DEACTIVE,06-09-2015,HR,2005,commercial,13-06-2031
KL 87 DI 1473,yes,1,Blue,20-06-2030,06-07-2030,Bajaj Allianz,Maruti Suzuki,DEACTIVE,21-05-2014,KL,2013,personal,23-03-2028
NL 28 JG 7801,no,0,Black,08-12-2030,28-04-2027,New India Assurance,HERO MOTOCORP LTD,DEACTIVE,04-12-2020,NL,2001,commercial,10-01-2027
UP 99 VF 6772,yes,3,Yellow,28-02-2030,03-02-2027,Tata AIG,Hyundai,ACTIVE,14-02-2023,UP,2016,personal,29-04-2031
HP 63 HL 5498,yes,7,Blue,05-11-2028,30-01-2033,SBI General,Hyundai,ACTIVE,05-09-2015,HP,2008,personal,14-04-2026
ML 90 EL 2124,yes,4,Yellow,02-01-2032,18-09-2031,New India Assurance,Toyota,DEACTIVE,16-06-2023,ML,2013,commercial,31-01-2029
AS 47 JA 3681,yes,5,Silver,28-12-2023,31-07-2025,New India Assurance,Maruti Suzuki,DEACTIVE,22-12-2022,AS,2003,commercial,13-08-2029
GA 44 SP 3021,no,0,Blue,26-08-2027,05-10-2024,Tata AIG,HERO MOTOCORP LTD,DEACTIVE,11-11-2015,GA,2014,commercial,04-04-2025
TR 22 YV 2872,no,0,Silver,31-05-2028,16-03-2030,United India Insurance,Honda,DEACTIVE,07-07-2011,TR,2000,commercial,20-07-2031
MP 84 UG 6330,no,0,Green,27-12-2030,22-11-2028,Bajaj Allianz,Honda,DEACTIVE,12-11-2018,MP,2023,commercial,08-03-2033
AP 20 WU 4794,yes,1,Blue,01-09-2030,23-11-2026,Future Generali,HERO MOTOCORP LTD,DEACTIVE,06-02-2021,AP,2005,personal,24-07-2029
GJ 37 EF 4374,no,0,Yellow,12-01-2027,12-11-2023,HDFC ERGO,Hyundai,ACTIVE,29-02-2016,GJ,2007,personal,17-03-2032
AR 96 DQ 3573,yes,7,Green,22-03-2024,07-06-2028,Bajaj Allianz,Hyundai,ACTIVE,03-10-2016,AR,2012,commercial,24-03-2026
AS 92 ER 7435,yes,1,Yellow,05-11-2027,04-03-2027,Bajaj Allianz,Maruti Suzuki,DEACTIVE,20-09-2010,AS,2008,commercial,16-12-2032
CG 48 CK 4773,yes,3,Silver,17-04-2025,25-02-2024,HDFC ERGO,Maruti Suzuki,DEACTIVE,02-10-2017,CG,2008,commercial,06-10-2023
AP 44 BT 9339,no,0,Blue,03-05-2031,17-11-2030,United India Insurance,HERO MOTOCORP LTD,ACTIVE,09-03-2019,AP,2002,personal,17-04-2026
WB 20 DF 4082,yes,7,Green,14-08-2025,02-04-2030,New India Assurance,Hyundai,DEACTIVE,11-07-2016,WB,2000,personal,03-02-2028
MZ 25 KL 2415,no,0,Yellow,09-06-2033,24-08-2027,New India Assurance,Maruti Suzuki,DEACTIVE,22-02-2012,MZ,2003,commercial,24-04-2027
MN 60 VE 8785,no,0,Silver,07-02-2030,29-03-2028,United India Insurance,HERO MOTOCORP LTD,ACTIVE,03-05-2011,MN,2003,personal,09-01-2029
KA 26 AG 9622,no,0,White,15-06-2030,25-04-2031,Reliance General,Maruti Suzuki,ACTIVE,25-07-2021,KA,2007,personal,11-04-2032
PB 85 HG 2420,yes,8,Blue,09-07-2027,20-02-2030,Future Generali,Tata Motors,DEACTIVE,07-08-2015,PB,2008,personal,20-11-2029
HP 33 LS 8123,yes,9,Yellow,18-09-2025,04-05-2032,HDFC ERGO,Honda,DEACTIVE,02-08-2014,HP,2008,personal,26-10-2029
AS 10 UB 3461,no,0,Black,25-11-2027,03-05-2030,ICICI LOMBARD,Honda,DEACTIVE,15-12-2012,AS,2019,commercial,16-04-2025
MP 80 OW 3995,no,0,Red,02-06-2031,20-04-2031,SBI General,Honda,ACTIVE,05-09-2011,MP,2021,commercial,10-03-2029
CG 12 RN 1468,no,0,Silver,05-07-2024,05-11-2029,Bajaj Allianz,Maruti Suzuki,ACTIVE,04-10-2013,CG,2000,personal,04-11-2025
WB 74 ET 9036,no,0,Green,06-08-2027,26-04-2030,Bajaj Allianz,Tata Motors,ACTIVE,27-01-2023,WB,2013,personal,01-03-2025
TS 53 IY 8995,no,0,Green,12-11-2029,04-06-2029,Future Generali,Tata Motors,DEACTIVE,13-11-2017,TS,2018,commercial,10-11-2023
UK 22 WO 4383,yes,9,Red,23-04-2030,08-09-2025,HDFC ERGO,Honda,ACTIVE,13-06-2023,UK,2013,personal,09-07-2024
TS 80 EX 6300,yes,8,Green,30-10-2029,11-01-2028,ICICI LOMBARD,Tata Motors,ACTIVE,30-03-2019,TS,2010,personal,21-07-2024
CG 76 AE 7100,no,0,White,19-08-2027,24-10-2028,Future Generali,Maruti Suzuki,DEACTIVE,17-02-2015,CG,2023,personal,19-10-2030
AS 42 MU 3248,no,0,Green,16-11-2032,23-06-2033,Oriental Insurance,Tata Motors,ACTIVE,01-02-2022,AS,2022,commercial,20-03-2032
ML 72 CK 1270,no,0,Black,15-09-2030,04-09-2032,Bajaj Allianz,Hyundai,ACTIVE,04-02-2017,ML,2000,commercial,16-09-2028
RJ 11 EU 9401,no,0,White,13-07-2027,16-02-2033,Tata AIG,Toyota,ACTIVE,11-03-2020,RJ,2001,commercial,13-05-2024
ML 39 YK 4120,yes,1,Silver,11-09-2029,09-11-2024,Tata AIG,Maruti Suzuki,ACTIVE,06-08-2012,ML,2023,commercial,23-10-2024
SK 59 OV 2705,no,0,Yellow,24-06-2027,21-01-2028,Future Generali,HERO MOTOCORP LTD,DEACTIVE,08-12-2017,SK,2014,personal,12-09-2030
MZ 45 XT 5252,yes,4,Red,05-09-2029,10-06-2031,United India Insurance,Toyota,ACTIVE,08-07-2018,MZ,2020,commercial,10-02-2028
AR 44 IV 8003,yes,1,Silver,25-09-2029,07-09-2032,Bajaj Allianz,Toyota,ACTIVE,19-06-2021,AR,2013,commercial,23-03-2032
NL 77 OW 7499,no,0,Yellow,26-01-2027,13-07-2033,SBI General,HERO MOTOCORP LTD,DEACTIVE,22-06-2010,NL,2009,commercial,24-07-2029
JH 59 FL 9284,yes,7,Yellow,27-09-2032,16-12-2026,Tata AIG,Toyota,DEACTIVE,28-01-2023,JH,2014,commercial,16-08-2029
BR 46 JB 7443,yes,8,Green,02-09-2025,14-08-2030,HDFC ERGO,Toyota,ACTIVE,21-10-2018,BR,2022,commercial,30-01-2031
JK 15 EM 9286,yes,8,Blue,11-05-2028,28-07-2032,Bajaj Allianz,Honda,ACTIVE,21-06-2023,JK,2021,commercial,21-05-2027
UP 40 BW 4750,no,0,Silver,02-01-2026,22-03-2032,New India Assurance,Tata Motors,DEACTIVE,13-09-2019,UP,2004,personal,28-09-2026
TR 45 MT 5883,yes,4,Red,22-01-2025,18-01-2033,Oriental Insurance,Tata Motors,DEACTIVE,19-03-2018,TR,2022,commercial,08-07-2028
KL 21 KV 9453,no,0,Black,25-09-2023,08-11-2032,HDFC ERGO,Hyundai,ACTIVE,24-04-2019,KL,2013,personal,14-10-2032
TR 48 YS 5900,no,0,Yellow,13-10-2028,05-02-2027,New India Assurance,Maruti Suzuki,ACTIVE,07-02-2022,TR,2011,commercial,08-07-2026
HP 47 ZW 2074,yes,7,Yellow,06-01-2032,03-12-2024,ICICI LOMBARD,Tata Motors,ACTIVE,17-01-2012,HP,2010,personal,21-12-2030
CG 21 TJ 7493,no,0,Red,10-05-2033,17-05-2031,ICICI LOMBARD,Hyundai,DEACTIVE,18-04-2011,CG,2016,commercial,10-10-2026
SK 30 RE 6960,yes,10,Silver,10-10-2027,20-09-2029,SBI General,Hyundai,ACTIVE,14-01-2013,SK,2020,personal,10-04-2028
SK 14 DU 6583,yes,7,White,17-12-2025,10-03-2024,United India Insurance,Hyundai,DEACTIVE,25-08-2017,SK,2003,commercial,12-06-2026
WB 50 BE 6514,no,0,Silver,21-11-2023,03-12-2027,SBI General,Toyota,DEACTIVE,19-06-2011,WB,2003,personal,01-11-2024
HP 25 AS 5708,no,0,Yellow,14-10-2023,06-11-2031,Future Generali,HERO MOTOCORP LTD,DEACTIVE,29-04-2011,HP,2002,personal,21-06-2024
UK 16 KW 2842,no,0,Red,07-02-2032,26-11-2023,Tata AIG,Hyundai,DEACTIVE,18-02-2022,UK,2014,personal,19-03-2032
CG 86 II 7094,yes,10,Black,06-11-2024,25-09-2023,Reliance General,Hyundai,ACTIVE,14-04-2015,CG,2022,commercial,09-06-2030
JK 76 DJ 7964,yes,1,Yellow,22-11-2025,18-01-2032,HDFC ERGO,Honda,DEACTIVE,18-06-2017,JK,2006,commercial,04-03-2033
UK 59 GQ 3162,no,0,Blue,01-03-2024,25-07-2032,SBI General,Maruti Suzuki,ACTIVE,21-08-2014,UK,2003,personal,07-06-2028
KL 55 JQ 9976,no,0,Black,03-06-2033,29-04-2024,Oriental Insurance,Honda,DEACTIVE,13-01-2013,KL,2001,personal,10-06-2030
GJ 44 YN 1042,yes,6,Yellow,01-04-2027,23-08-2026,Future Generali,Maruti Suzuki,DEACTIVE,11-07-2012,GJ,2017,commercial,18-10-2032
BR 27 JH 5054,yes,9,Blue,20-03-2030,11-10-2024,SBI General,Maruti Suzuki,DEACTIVE,23-03-2020,BR,2019,commercial,09-09-2024
WB 75 AH 7658,no,0,White,22-07-2033,27-04-2031,Tata AIG,Honda,DEACTIVE,12-11-2020,WB,2008,commercial,19-07-2027
TN 11 IC 9318,yes,8,Black,22-11-2028,01-05-2029,ICICI LOMBARD,Tata Motors,DEACTIVE,04-01-2016,TN,2013,commercial,24-02-2030
SK 40 MA 4837,no,0,Black,01-12-2027,03-09-2030,Bajaj Allianz,HERO MOTOCORP LTD,ACTIVE,01-03-2018,SK,2018,commercial,14-06-2030
HR 76 LI 5462,no,0,Green,15-03-2026,15-11-2027,HDFC ERGO,Honda,DEACTIVE,30-04-2020,HR,2017,commercial,03-11-2027
MN 11 RW 5652,no,0,White,29-05-2032,01-04-2027,SBI General,HERO MOTOCORP LTD,DEACTIVE,17-12-2016,MN,2008,commercial,06-12-2028
HR 70 YU 5518,no,0,Black,18-10-2032,31-05-2028,Bajaj Allianz,Maruti Suzuki,DEACTIVE,29-08-2010,HR,2011,commercial,01-05-2027
HR 81 XW 2926,yes,4,Green,13-07-2030,23-04-2032,Future Generali,Honda,DEACTIVE,21-12-2016,HR,2007,personal,19-03-2024
JH 95 KR 7668,yes,10,White,24-08-2026,03-06-2032,Reliance General,Tata Motors,DEACTIVE,16-06-2017,JH,2018,personal,24-06-2028
MP 81 DK 1281,no,0,Red,07-02-2033,17-05-2026,United India Insurance,Hyundai,ACTIVE,22-07-2014,MP,2014,personal,09-09-2027
NL 24 CO 1002,no,0,Green,13-08-2023,19-11-2030,United India Insurance,Maruti Suzuki,ACTIVE,30-07-2010,NL,2019,commercial,12-04-2028
OD 98 QW 6022,no,0,Black,18-08-2026,27-07-2030,Bajaj Allianz,Tata Motors,ACTIVE,10-02-2010,OD,2014,personal,20-12-2026
UP 27 EL 7556,no,0,Silver,17-04-2027,10-09-2023,Future Generali,Maruti Suzuki,ACTIVE,27-10-2018,UP,2002,commercial,23-07-2025
MP 23 SP 1367,no,0,Green,05-01-2025,03-12-2024,United India Insurance,Toyota,DEACTIVE,08-07-2012,MP,2020,commercial,19-06-2031
WB 60 HA 3516,no,0,Yellow,20-06-2026,20-05-2024,HDFC ERGO,Hyundai,ACTIVE,24-02-2020,WB,2022,commercial,06-01-2024
UK 84 TG 1842,yes,2,Silver,26-12-2030,21-05-2026,SBI General,Toyota,DEACTIVE,24-02-2012,UK,2009,personal,11-01-2029
TN 16 SZ 3591,no,0,Blue,27-02-2032,01-04-2032,HDFC ERGO,Hyundai,ACTIVE,26-05-2022,TN,2018,commercial,16-05-2029
HP 59 JU 7311,no,0,Green,07-08-2023,19-10-2026,Reliance General,Maruti Suzuki,ACTIVE,12-07-2017,HP,2015,commercial,15-06-2032
TN 14 HO 9401,no,0,Blue,23-12-2025,02-11-2023,Bajaj Allianz,Honda,DEACTIVE,02-12-2012,TN,2015,personal,31-05-2031
GJ 19 DR 8973,yes,7,Silver,25-04-2025,04-11-2025,New India Assurance,Hyundai,DEACTIVE,05-02-2023,GJ,2006,personal,27-06-2030
TN 55 LF 6702,no,0,Yellow,09-07-2029,13-11-2026,New India Assurance,Honda,ACTIVE,06-07-2021,TN,2002,personal,11-04-2030
UP 84 LI 6247,yes,9,White,15-09-2030,22-07-2027,New India Assurance,HERO MOTOCORP LTD,DEACTIVE,29-04-2019,UP,2001,personal,10-06-2032
GJ 64 QR 2009,yes,7,Green,11-10-2024,12-06-2029,Future Generali,Toyota,ACTIVE,02-07-2011,GJ,2002,personal,09-08-2026
BR 81 RN 6119,no,0,Red,03-03-2031,09-10-2023,HDFC ERGO,Hyundai,DEACTIVE,04-01-2023,BR,2001,personal,25-09-2032
TS 72 QA 4656,no,0,Black,01-03-2027,12-08-2027,SBI General,Hyundai,ACTIVE,20-01-2021,TS,2021,commercial,07-03-2027
NL 15 DX 4089,yes,3,Blue,17-05-2029,25-08-2028,United India Insurance,Tata Motors,DEACTIVE,30-01-2020,NL,2023,personal,23-10-2027
MH 70 TZ 2298,no,0,Black,05-03-2032,16-06-2033,Future Generali,Toyota,ACTIVE,21-10-2011,MH,2011,personal,17-03-2028
HR 40 IA 9081,yes,3,Silver,29-02-2032,19-08-2028,SBI General,HERO MOTOCORP LTD,DEACTIVE,07-02-2020,HR,2006,personal,03-04-2033
JH 79 KN 4139,no,0,Black,13-06-2025,15-12-2028,SBI General,Hyundai,ACTIVE,24-04-2019,JH,2018,commercial,02-01-2031
